id;dtlid;dtlseq;itemcode;qty;old_itemcode;refxi_number
1;8735;44303;gold Belgium;28649;markets Tasty Plas;withdrawal approac
2;57849;96173;Savings Account;86329;instruction set;navigating
3;25974;4356;Turkey Dynamic Mon;52166;Somoni Investment ;functionalities im
4;68424;65498;Investor Computers;19434;Regional deposit;Engineer Savings A
5;17416;20673;auxiliary e-servic;81660;Automotive;orchestration
6;90581;33150;leverage Optimizat;89099;Morocco needs-base;interfaces mobile
7;20672;83691;Future paradigms q;54021;Parkway directiona;optimal scale back
8;53826;20871;leading-edge hacki;53194;benchmark Bedfords;Fiji
9;69547;44660;Loop;74937;Gorgeous Plastic P;web services Borde
10;59517;42983;whiteboard Keyboar;85818;Shoes Lithuanian L;indexing
