id;xi_number;frmlname;frml_type;profile_number;user_number;book_number;mfg_number;mfglocation;cbaliascode;description;customer;base_application
1;yellow;withdrawal Identity;Frozen invoice;platforms;backing up Functio;Licensed;Applications incub;Berkshir;Cotton;Cambridgeshire solid state;Intelligent Rubber Soap Licensed;knowledge base
2;Bedfordshire invoi;high-level violet;withdrawal Intelligent;envisioneer;Expanded Drives;Outdoors robust;Saint Vincent and ;Tuna Ref;Outdoors optimize;Park bus Central;Soft application;budgetary management Optional mo
3;Markets compressin;synthesizing Shoes;interface;Mews Ergonomic Syr;Associate Papua Ne;user-centric;circuit Steel;deposit ;real-time;platforms;yellow;payment
4;Mountain indexing ;Gold;Re-engineered Texas Avon;portals Small Wood;Unbranded;Maine Mill Forward;Central Bhutan;backgrou;Investment Account;web services;Granite East Caribbean Dollar Cr;Global
5;application progra;world-class;matrix;back-end Bedfordsh;forecast best-of-b;enable Granite Dyn;bluetooth systems ;Rupiah L;Table Park;RAM SAS;cross-platform;Louisiana
6;indexing Concrete;AGP Savings Account Shoes;parse;empowering Home Lo;complexity;Avon Principal;program violet app;Home Loa;proactive;Sports 1080p;web-readiness Key;neutral Fantastic Metal Chair Go
7;Som Suriname conne;panel Legacy Italy;Berkshire;Fantastic Soft Tab;Electronics empowe;Bedfordshire metri;Robust Rustic Wood;web-read;Arizona;Direct Russian Ruble;cyan schemas encoding;Quality Computers experiences
8;transmitter;compelling Corporate;East Caribbean Dollar program;lavender platforms;Sports Oregon Lega;Balanced Iraqi Din;Montana;circuit ;Tasty invoice De-e;hacking Small attitude-oriented;national Avon;hacking
9;Pennsylvania Savin;Unbranded Rubber Salad Fantastic interface;Planner Team-oriented Connecticu;Montana bricks-and;SDD Personal Loan ;Alabama markets;Rhode Island;Bedfords;Horizontal USB Ele;Frozen leading edge;alarm Small Rubber Fish;Car Haven
10;Ergonomic Fresh Ta;withdrawal Chief invoice;Planner;Personal Loan Acco;utilisation;capacitor compelli;calculating Unions;Personal;Buckinghamshire Sa;Romania Unbranded;CSS back-end;payment Locks
